Materia,Código,Comisión,Sede,Modalidad de Dictado,Valor
"ALERGIA E INMUNOLOGIA",20153,"DCS20153-A (106030)","BAHIA BLANCA","Semanal",100
"ALERGIA E INMUNOLOGIA",20153,"DCS20153-B (106031)","BAHIA BLANCA","Semanal",100
"CARDIOLOGIA",20056,"DCS20056-A (105951)","BAHIA BLANCA","Semanal",100
"CARDIOLOGIA",20056,"DCS20056-B (105952)","BAHIA BLANCA","Semanal",100
"CONSUMOS PROBLEMATICOS Y ADICCIONES: PERSPECTIVA DE DERECHOS Y REDUCCION DEL DAÑO",20133,"DCS-20133 (106002)","BAHIA BLANCA","Semanal",100
"EMERGENTOLOGIA",20058,"DCS20058-A (105955)","BAHIA BLANCA","Semanal",100
"ENDOCRINOLOGIA",20053,"DCS20053-A (105947)","BAHIA BLANCA","Semanal",100
"ENDOCRINOLOGIA",20053,"DCS20053-B (105946)","BAHIA BLANCA","Semanal",100
"INFECTOLOGIA",20057,"DCS20057-B (105953)","BAHIA BLANCA","Semanal",100
"MEDICINA LEGAL",20055,"DCS20055-A (105949)","BAHIA BLANCA","Semanal",100
"MEDICINA LEGAL",20055,"DCS20055-B (105950)","BAHIA BLANCA","Semanal",100
"MODULO ELECTIVO",20070,"DCS20070-A (105969)","BAHIA BLANCA","Semanal",100
"NEUROCIENCIA DEL SUEÑO",20136,"DCS-20136 (106003)","BAHIA BLANCA","Semanal",100
"NEUROLOGIA",20054,"DCS20054-B (105948)","BAHIA BLANCA","Semanal",100
"PRACTICAS INTEGRATIVAS E INTERCULTURALES EN SALUD",20102,"DCS-20102 (105988)","BAHIA BLANCA","Semanal",100
"PRESCRIPCION DEL EJERCICIO Y LA ACTIVIDAD FISICA",20068,"DCS-20068 (105967)","BAHIA BLANCA","Semanal",100
"SALUD AMBIENTAL",20071,"DCS-20071 (105970)","BAHIA BLANCA","Semanal",100
"SALUD COMUNITARIA",20154,"DCS20154-A (106032)","BAHIA BLANCA","Semanal",100
"SALUD COMUNITARIA",20154,"DCS20154-B (106033)","BAHIA BLANCA","Semanal",100
"TELESALUD",20163,"DCS201063-B (106037)","BAHIA BLANCA","Semanal",100
"TERAPIA INTENSIVA",20152,"DCS20152-A (106010)","BAHIA BLANCA","Semanal",100
"TERAPIA INTENSIVA",20152,"DCS20152-B (106011)","BAHIA BLANCA","Semanal",100
"TOPICOS DE ECONOMIA DE LA SALUD",20052,"DCS-20052 (105945)","BAHIA BLANCA","Semanal",100
"TRAUMA ORTOPEDICO EN ADULTOS",20072,"DCS20072-A (108103)","BAHIA BLANCA","Semanal",100
"USO DEL CANNABIS MEDICINAL",20118,"DCS-20118 (106001)","BAHIA BLANCA","Semanal",100
